web-scraper-order,web-scraper-start-url,title,composition,image-src,sauce
"1625241238-205","https://www.fivepizzaoriginal.com/creme-fraiche/","Tartiflette","Lardons de veau, rebolochon, oignons.","/wp-content/uploads/2021/01/Tartiflette-min-e1612517217957.png","Crème Fraiche"
"1625241238-202","https://www.fivepizzaoriginal.com/creme-fraiche/","Country","Viande hachée, pommes de terre, olives.","/wp-content/uploads/2021/01/Country-min-e1612517313444.png","Crème Fraiche"
"1625241238-207","https://www.fivepizzaoriginal.com/creme-fraiche/","Norvégienne","Saumon.","/wp-content/uploads/2021/01/Norvégienne-min-e1612517329232.png","Crème Fraiche"
"1625241238-199","https://www.fivepizzaoriginal.com/creme-fraiche/","Chèvre Miel","Chèvre, parmesan, miel, olives.","/wp-content/uploads/2021/01/Chèvre-Miel-min-e1612516624580.png","Crème Fraiche"
"1625241238-203","https://www.fivepizzaoriginal.com/creme-fraiche/","Paysanne","Jambon de dinde, oignons, pommes de terre.","/wp-content/uploads/2021/01/Paysanne-min-e1612517096186.png","Crème Fraiche"
"1625241238-201","https://www.fivepizzaoriginal.com/creme-fraiche/","Chicken","Poulet fumé, pommes de terre.","/wp-content/uploads/2021/01/Chicken-min-e1612516657909.png","Crème Fraiche"
"1625241238-200","https://www.fivepizzaoriginal.com/creme-fraiche/","Kebab","Poulet, champignons, pommes de terre.","/wp-content/uploads/2021/01/Kebab-min-e1612516856297.png","Crème Fraiche"
"1625241238-204","https://www.fivepizzaoriginal.com/creme-fraiche/","Française","Jambon de dinde, lardons de veau, olives, champignons.","/wp-content/uploads/2021/01/Francaise-min-e1612516777454.png","Crème Fraiche"
"1625241238-206","https://www.fivepizzaoriginal.com/creme-fraiche/","Milano","Lardons de veau, pommes de terre, oeuf.","/wp-content/uploads/2021/01/Milano-min-e1612517061384.png","Crème Fraiche"
