web-scraper-order,web-scraper-start-url,title,composition,image-src,sauce
"1625241290-213","https://www.fivepizzaoriginal.com/sauce-originale/","Indienne","Sauce curry, viande hachée, poulet tikka, maïs.","/wp-content/uploads/2021/01/Indienne-e1612517434966.png","Sauce Originale"
"1625241290-209","https://www.fivepizzaoriginal.com/sauce-originale/","Américaine","Sauce américaine, viande hachée, boursin, poivrons.","/wp-content/uploads/2021/01/Americaine-e1612516128570.png","Sauce Originale"
"1625241290-214","https://www.fivepizzaoriginal.com/sauce-originale/","La miel","Miel, crème fraîche, dinde, merguez, poivrons.","/wp-content/uploads/2021/01/Miel-min-e1612517033376.png","Sauce Originale"
"1625241290-215","https://www.fivepizzaoriginal.com/sauce-originale/","La boursin","Boursin, crème fraîche, poulet, champignons.","/wp-content/uploads/2021/01/Boursin-min-e1612516467470.png","Sauce Originale"
"1625241290-211","https://www.fivepizzaoriginal.com/sauce-originale/","Buffalo","Sauce barbecue, poivrons, viande hachée, oignons.","/wp-content/uploads/2021/01/Buffalo-min-e1612516502394.png","Sauce Originale"
"1625241290-208","https://www.fivepizzaoriginal.com/sauce-originale/","Algérienne","Sauce algérienne, viande hachée, merguez, poivrons, olives.","/wp-content/uploads/2021/01/Algérienne-e1612517466339.png","Sauce Originale"
"1625241290-210","https://www.fivepizzaoriginal.com/sauce-originale/","Antillaise","Sauce columbo, viande hachée, poulet, champignons, olives.","/wp-content/uploads/2021/01/Antillaise-min-e1612516353368.png","Sauce Originale"
"1625241290-212","https://www.fivepizzaoriginal.com/sauce-originale/","Bollywood","Sauce curry, crème fraîche, poulet, oignons, poivrons.","/wp-content/uploads/2021/01/Bollywood-min-e1612516450895.png","Sauce Originale"
"1625241290-216","https://www.fivepizzaoriginal.com/sauce-originale/","Pimento","Sauce chili thaï, poulet, chorizo, piment rouge, olives.","/wp-content/uploads/2021/01/Pimento-e1612517413516.png","Sauce Originale"
